betroffene_anlage,matched_id,id_source,method,confidence,reasoning,matched_name,lat,lon
Kraftwerk Walheim GT D,1087,index,llm,medium,GT D suggests the oil-fired gas turbine unit at Walheim rather than the hard coal block.,Walheim,49.01598,9.15943
50H Halle-Dieselstr HKW-BlockC,4695,index,llm,high,Dieselstrasse natural gas plant in Halle matches name and location closely.,Dieselstrasse,51.457551,11.991449
Ahrensfelde A (KapRes),3316,index,llm,high,Gtkw Ahrensfelde matches the plant name and location directly.,Gtkw Ahrensfelde,52.580922,13.570582
Ahrensfelde B (KapRes),3316,index,llm,high,"Gtkw Ahrensfelde matches Ahrensfelde by name, fuel type, and location.",Gtkw Ahrensfelde,52.580922,13.570582
Ahrensfelde C (KapRes),3316,index,llm,high,"Gtkw Ahrensfelde matches Ahrensfelde by name, fuel type, and location.",Gtkw Ahrensfelde,52.580922,13.570582
Ahrensfelde D (KapRes),3316,index,llm,high,"Gtkw Ahrensfelde matches Ahrensfelde by name, fuel type, and location.",Gtkw Ahrensfelde,52.580922,13.570582
Netzreservekraftwerk KMW 2 DT,,,llm,none,"No candidate plausibly represents 'KMW' (likely Kraftwerk Mainz-Wiesbaden), which is absent from the list.",,,
GERSTEINW_K1 (KapRes),1283,index,llm,high,"K1 denotes the hard-coal ('Kohle') block of Gersteinwerk, matching the 665.5 MW hard coal entry.",Gersteinwerk,51.673532,7.720513
OWP Nordergründe,94937,index,llm,high,Exact name and fuel/location match for Owp Nordergrunde offshore wind park.,Owp Nordergrunde,53.83530144444445,8.16830877777778
CHEMIEPARK_MARL_KRAFTWERKE,12318,index,llm,medium,Chemiepark Marl gas-fired 'Kraftwerk I' best matches the generic 'Kraftwerke' plant reference at same coordinates.,Chemiepark Marl,51.6804,7.096900000000001
Frankfurt West 3,1080,index,llm,high,'Wd Ffw' (West Frankfurt) hard coal plant directly corresponds to 'Frankfurt West' block 3.,Wd Ffw,50.099,8.653
Walchensee 1,751,index,llm,high,"Walchenseekraftwerk is the only hydro plant named Walchensee, matching block naming.",Walchenseekraftwerk,47.629628,11.33818
Walchensee 4,751,index,llm,high,"Same Walchenseekraftwerk hydro plant, block 4 reference.",Walchenseekraftwerk,47.629628,11.33818
Silz 2 (Uniper),OPSD-BNA0906,index,llm,high,KW Silz is the hydro plant matching 'Silz 2' by name and fuel type.,KW Silz,47.269606,10.967829
Walchensee 3,751,index,llm,high,"Same Walchenseekraftwerk hydro plant, block 3 reference.",Walchenseekraftwerk,47.629628,11.33818
Walchensee 2,751,index,llm,high,"Same Walchenseekraftwerk hydro plant, block 2 reference.",Walchenseekraftwerk,47.629628,11.33818
Netzreservekraftwerk GTKW-DA-POOL,,,llm,none,No single candidate corresponds to this generic 'GTKW-DA-POOL' reserve gas turbine pool designation.,,,
Reservekraftwerk Marbach GT 3,3275,index,llm,medium,"Marbach (Dampfkraftwerk Marbach am Neckar) is the only Marbach plant, plausible site for GT block 3 reserve unit.",Marbach,48.927387499999995,9.231165
WEISWEILER_VGTG3,1167,index,llm,medium,Weissweiler's natural gas block (400 MW) fits a gas turbine ('GT') designation better than the lignite unit.,Weissweiler,50.837339,6.319244
Braunschweig HKWM GT31,,,llm,none,No candidate corresponds to a Braunschweig CHP plant (HKWM) in the list.,,,
KNAPSACK_20,722,index,llm,high,Knapsack natural gas plant directly matches the 'KNAPSACK' name.,Knapsack,50.858679,6.845286
Heizkraftwerk Gaisburg Block 3,1073,index,llm,high,"'St' variant explicitly lists 'Heizkraftwerk Stuttgart-Gaisburg', matching exactly.",St,49.9767375,9.069419
GERSTEINW_GTF1 (KapRes),691,index,llm,high,"GTF1 denotes a gas turbine block, matching the natural gas Gersteinwerk unit (1388 MW).",Gersteinwerk,51.67324,7.710467
50H OWP Baltic 1+2,32078,index,llm,high,"Baltic offshore wind farm matches name, energy type and 50Hertz coastal Baltic Sea location.",Baltic,54.904974653465345,13.056202386138612
Markersbach (Standort),95,index,llm,high,"Direct name match to Pumpspeicherwerk Markersbach, a large pumped-storage plant in 50Hertz area.",Psw Markersbach Pss,50.52,12.88
Emden 4 GT (KapRes),3305,index,llm,medium,The 'GT' designation points to the gas turbine unit of the Emden GuD plant rather than the steam turbine unit.,Gud Emden,53.340524,7.210348
Goldisthal (Standort),10,index,llm,high,Direct name and capacity match to the large Goldisthal pumped-storage plant in 50Hertz territory.,Psw Goldisthal Pss,50.51,11.01
Pumpspeicherwerk Glems,182,index,llm,high,Exact name and location match for the Glems pumped-storage plant under TransnetBW.,Psw Glems,48.50519,9.28726
Braunschweig DT,,,llm,none,No candidate in the list corresponds to a Braunschweig power plant.,,,
Braunschweig GT,,,llm,none,No candidate in the list corresponds to a Braunschweig power plant.,,,
Pumpspeicherwerk Säckingen RZ TNG,297,index,llm,high,"Direct name match to Säckingen pumped-storage plant, operated within TransnetBW's grid area.",Sackingen,47.56207628571429,7.954524857142857
Hannover (GKH) 1,,,llm,none,No candidate matches a Hannover-based Gemeinschaftskraftwerk (GKH).,,,
KMW_KW5,,,llm,none,No candidate corresponds to a plant abbreviated as KMW.,,,
50H Parchim,,,llm,none,No candidate matches a plant located in or named after Parchim.,,,
INFRA_HOE_GTX1,15693,index,llm,high,Infraserv Hoechst natural gas unit matches the 'GTX1' gas turbine designation and Amprion grid area.,Infraserv Hoechst,50.091838,8.531305
Thyrow A (SysRel),3248,index,llm,high,Direct name match to Gasturbinenkraftwerk Thyrow within 50Hertz territory.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Linden GKL GT 3,,,llm,none,No candidate corresponds to the Linden (GKL) power plant.,,,
Thyrow B (SysRel),3248,index,llm,high,"Same Thyrow gas turbine plant as unit B, matching name and 50Hertz location.",Gasturbinenkraftwerk Thyrow,52.230249,13.302107
LEIPHEIM_10 (bnBm),3655,index,llm,high,Direct match to the Bnbm Gaskraftwerk Leipheim natural gas plant.,Bnbm Gaskraftwerk Leipheim,48.434778,10.23254
Kiel (Küstenkraftwerk gesamt),,,llm,none,Name directly matches 'Küstenkraftwerk' K.I.E.L. located in Kiel with matching coordinates.,,,
ReserveKW Ingolstadt 3,8622,index,llm,high,Ingolstadt oil-fired plant matches the reserve power plant designation for block 3.,Ingolstadt,48.761882,11.50246
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,314,index,llm,high,"Direct name match to the Rheinhafen-Dampfkraftwerk Karlsruhe hard coal plant, home of block 7 (RDK7).",Rheinhafen Dampfkraftwerk,49.01274,8.304255000000001
Robert Frank 4 GT (KapRes),21638,index,llm,high,Direct name match to the Robert Frank natural gas plant used for capacity reserve.,Robert Frank,52.54585,9.11363
Zolling GT 1,6140,index,llm,high,Direct name match 'Zolling Gt' with matching coordinates and gas turbine type.,Zolling Gt,48.455489,11.796122
Braunschweig BHKW,8679,index,llm,high,Direct name match 'Bhkw Braunschweig' with matching Braunschweig coordinates.,Bhkw Braunschweig,52.295023,10.521684
Bremen GKB,728,index,llm,medium,GKB (Gemeinschaftskraftwerk Bremen) corresponds to the Farge hard coal plant located in Bremen.,Farge,53.198738,8.519465
WP Schafflund,,,llm,none,No candidate wind park matches the name or location of Schafflund.,,,
GERSTEINW_DTF2 (KapRes),691,index,llm,high,Gersteinwerk gas-fired unit (DTF2) matches the large natural gas Gersteinwerk plant.,Gersteinwerk,51.67324,7.710467
Kirchlengern GT 1,3269,index,llm,high,Direct name and location match for Kirchlengern gas plant.,Kirchlengern,52.194951,8.648754
Pumpspeicherwerk Wehr RZ TNG,110,index,llm,high,Pumpspeicherwerk Wehr matches hydro pumped storage plant 'Wehr Ms'.,Wehr Ms,47.652259,7.925798
Erzhausen 1,0,index,llm,high,Erzhausen pumped storage plant matches directly.,Pumpspeicherkraftwerk Erzhausen,51.898566,9.924887
Erzhausen 2,0,index,llm,high,"Same Erzhausen pumped storage plant, unit 2.",Pumpspeicherkraftwerk Erzhausen,51.898566,9.924887
BASF-GESAMTEINSPEISG,692,index,llm,medium,BASF's Ludwigshafen 'Kraftwerk Mitte' (GuD Mitte) matches location and is BASF's main power plant.,Gud Mitte,49.494936,8.434017
Gebersdorf 1,,,llm,none,No candidate corresponds to the Gebersdorf plant near Nuremberg.,,,
GERSTEINW_GTI1,691,index,llm,high,Gersteinwerk gas turbine unit matches the natural gas Gersteinwerk plant.,Gersteinwerk,51.67324,7.710467
GAMOR_ROEMER,3261,index,llm,high,GAMOR_ROEMER corresponds to 'Gasmotorenkraftwerk Romerbrucke' (HKW Römerbrücke).,Gasmotorenkraftwerk Romerbrucke,49.223076,7.016974
HEIZKRAFTWERK_SAARBRÜCKEN,,,llm,none,No candidate plant is located in or named after Saarbrücken.,,,
Braunschweig HKWN GT,2772,index,llm,high,HKW-Nord gas turbine in Braunschweig matches coordinates and naming.,Nord Gt,52.3056,10.5072
Erzhausen 4,0,index,llm,high,"Erzhausen pumped storage plant, unit 4.",Pumpspeicherkraftwerk Erzhausen,51.898566,9.924887
Erzhausen 3,0,index,llm,high,"Erzhausen pumped storage plant, unit 3.",Pumpspeicherkraftwerk Erzhausen,51.898566,9.924887
Thyrow D (KapRes),3248,index,llm,high,Direct match to Gasturbinenkraftwerk Thyrow.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Thyrow E (KapRes),3248,index,llm,high,"Direct match to Gasturbinenkraftwerk Thyrow, unit E.",Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Thyrow B (KapRes),3248,index,llm,high,"Direct match to Gasturbinenkraftwerk Thyrow, unit B.",Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Thyrow C (KapRes),3248,index,llm,high,Direct name match to Gasturbinenkraftwerk Thyrow.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
INFRA_HOE_GTX3,15693,index,llm,medium,"GTX3 suggests gas turbine unit at Infraserv Hoechst, matching the Natural Gas 419.1MW block.",Infraserv Hoechst,50.091838,8.531305
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,314,index,llm,medium,Block 4 of the hard-coal Rheinhafen Dampfkraftwerk complex matches the largest hard coal candidate.,Rheinhafen Dampfkraftwerk,49.01274,8.304255000000001
Braunschweig HKWM DT42,8679,index,llm,medium,BHKW Braunschweig matches the HKW abbreviation and location.,Bhkw Braunschweig,52.295023,10.521684
GERSTEINW_GTG1 (KapRes),691,index,llm,medium,"GTG1 indicates a gas turbine unit at Gersteinwerk, matching the Natural Gas 1388MW block.",Gersteinwerk,51.67324,7.710467
Zolling GT 2,6140,index,llm,high,Direct match to Zolling Gt (gas turbine) unit.,Zolling Gt,48.455489,11.796122
50H BASF Schwarzheide,3243,index,llm,medium,Schwarzheide GuD matches the BASF Schwarzheide site location.,Schwarzheide,51.478138,13.889436
Netzreservekraftwerk UPM Schongau,3198,index,llm,high,Exact name match to UPM Schongau plant.,Upm Schongau,47.808151,10.902341
WP Neudersum,150462,index,llm,high,Exact match to Windpark Neudersum.,Windpark Neudersum,52.9776709,7.213945799999999
HATTINGEN_AIRPRODUCTS(KapRes),,,llm,none,No candidate corresponds to the Hattingen Air Products industrial plant among the renewable/hydro candidates.,,,
OWP Veja Mate AC105 (kurativ),95076,index,llm,high,Direct match to Owp Veja Mate offshore wind farm.,Owp Veja Mate,54.318555477611945,5.874748507462687
OWP Albatros AC151 (kurativ),144045,index,llm,high,Direct match to Windpark Albatros offshore wind farm.,Windpark Albatros,54.4871886875,6.24371
OWP Deutsche Bucht AC152 (kurativ),58458,index,llm,high,Direct match to Deutsche Bucht offshore wind farm.,Deutsche Bucht,54.30371951612902,5.78957629032258
OWP Deutsche Bucht AC153 (kurativ),58458,index,llm,high,Direct match to Deutsche Bucht offshore wind farm.,Deutsche Bucht,54.30371951612902,5.78957629032258
OWP Veja Mate AC104 (kurativ),95076,index,llm,high,Direct match to Owp Veja Mate offshore wind farm.,Owp Veja Mate,54.318555477611945,5.874748507462687
OWP BARD Offshore 1 AC102 (kurativ),32301,index,llm,medium,Bard Offshore Malo likely corresponds to the BARD Offshore 1 wind farm under a renamed entry.,Bard Offshore Malo,54.356897425,5.982390837500001
OWP BARD Offshore 1 AC103 (kurativ),32301,index,llm,medium,Bard Offshore Malo likely corresponds to the BARD Offshore 1 wind farm under a renamed entry.,Bard Offshore Malo,54.356897425,5.982390837500001
Würzburg GT 2,,,llm,none,No candidate plant is located in or named after Würzburg.,,,
HKW_ROEMER_KW,1145,index,llm,high,Romerbrucke matches the HKW Römerbrücke abbreviation.,Romerbrucke,49.224164,7.015021
50H EnviaTherm Bitterfeld GuD,3320,index,llm,high,Direct match to GuD Bitterfeld plant.,Gud Bitterfeld,51.62902,12.304538
Würzburg GT 1,,,llm,none,No candidate corresponds to a Würzburg location or gas turbine plant.,,,
Silz 1 (Uniper),OPSD-BNA0906,index,llm,medium,KW Silz is the only hydro plant at Silz matching the name and location.,KW Silz,47.269606,10.967829
"Heizkraftwerk Stuttgart-Münster GT 16,17,18",4633,index,llm,high,GT designation matches the natural gas turbine unit at Stuttgart-Münster.,Stuttgart Munster,48.81365,9.21921
50H Halle-Dieselstr HKW-BlockB,4695,index,llm,high,Dieselstrasse plant in Halle matches name and 50Hertz region coordinates.,Dieselstrasse,51.457551,11.991449
50H Bad Salzungen HKW,8689,index,llm,high,Direct name match for HKW Bad Salzungen natural gas plant.,Bad Salzungen,50.800018,10.221047
